web-scraper-order,web-scraper-start-url,Links,Links-href,name,address,city,state,zip,phone,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close
1642147536-217,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/707-lexington-ave.html,Taco Bell,707 Lexington Ave,New York City,NY,10022,(332) 228-0906,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147562-228,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/224-7th-ave.html,Taco Bell Cantina,224 7th Ave,New York City,NY,10011,(518) 531-6144,8:00 AM,4:00 AM,10:00 AM,5:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM
1642147572-232,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/173-e--116th-street.html,Taco Bell,173 E. 116th Street,New York City,NY,10029,(212) 289-7297,10:30 AM,10:30 PM,10:30 AM,10:30 PM,10:30 AM,9:30 PM,10:30 AM,9:30 PM,10:30 AM,9:30 PM,10:30 AM,9:30 PM,10:30 AM,9:30 PM
1642147567-230,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/18-e--14th-street.html,Taco Bell,18 E. 14th Street,New York City,NY,10003,(212) 645-8645,8:00 AM,4:30 AM,8:00 AM,4:30 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM,8:00 AM,4:30 AM
1642147574-233,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/1614-2nd-avenue.html,Taco Bell,1614 2nd Avenue,New York City,NY,10028,(929) 219-3609,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147539-218,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/58a-fulton-street.html,Taco Bell,58A Fulton Street,New York City,NY,10038,(212) 233-0848,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,3:00 AM,8:00 AM,3:00 AM,8:00 AM,3:00 AM,8:00 AM,3:00 AM,8:00 AM,4:00 AM
1642147557-226,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/240-west-40th-st.html,Taco Bell Cantina,240 West 40th St,New York City,NY,10018,(332) 600-4665,10:00 AM,3:00 AM,10:00 AM,3:00 AM,10:00 AM,2:00 AM,10:00 AM,2:00 AM,10:00 AM,11:00 PM,10:00 AM,2:00 AM,10:00 AM,2:00 AM
1642147541-219,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/560-w--207th-street.html,Taco Bell Cantina,560 W. 207th Street,New York City,NY,10034,(646) 449-0020,10:00 AM,1:00 AM,11:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147534-216,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/840-8th-ave.html,Taco Bell,840 8th Ave,New York City,NY,10019,(332) 877-3855,7:00 AM,4:00 AM,7:00 AM,5:00 AM,7:00 AM,4:00 AM,7:00 AM,4:00 AM,7:00 AM,4:00 AM,7:00 AM,4:00 AM,7:00 AM,4:00 AM
1642147577-234,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/161-east-125th-st.html,Taco Bell,161 East 125th ST,New York City,NY,10035,(646) 475-0090,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
1642147560-227,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/230-varick-street.html,Taco Bell,230 Varick Street,New York City,NY,10014,(646) 823-9315,8:00 AM,3:00 AM,8:00 AM,3:00 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM,8:00 AM,2:00 AM
1642147531-215,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/976-6th-ave.html,Taco Bell Cantina,976 6th Ave,New York City,NY,10018,(332) 213-0005,8:00 AM,4:00 AM,8:00 AM,5:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM,8:00 AM,4:00 AM
1642147565-229,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/1884-third-ave.html,Taco Bell,1884 Third Ave,New York City,NY,10029,(646) 684-3200,10:00 AM,11:30 PM,10:00 AM,11:30 PM,10:00 AM,11:30 PM,10:00 AM,11:30 PM,10:00 AM,11:30 PM,10:00 AM,11:30 PM,10:00 AM,11:30 PM
1642147553-224,https://locations.tacobell.com/ny/new-york.html,View Page,https://locations.tacobell.com/ny/new-york/321-1st-avenue.html,Taco Bell Cantina,321 1st Avenue,New York City,NY,10003,(332) 333-0642,10:00 AM,4:00 AM,10:00 AM,4:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM,10:00 AM,1:00 AM
